Species,MassDimorphism,CanineDimorphism,CombinedTestesMass.in.g
Allenopithecus_nigroviridis,-0.26634122593784,-1.0105820688968,-1.22431862695596
Allochrocebus_lhoesti,-0.25323610165273,-0.981278010733624,NA
Allochrocebus_preussi,NA,-1.41587073064359,NA
Allochrocebus_solatus,-0.654603365714134,NA,NA
Alouatta_belzebul,-0.712041394488893,-1.22003681671227,NA
Alouatta_caraya,-0.395063869390562,-1.42230070512772,-1.12901073676015
Alouatta_discolor,NA,NA,NA
Alouatta_macconnelli,NA,NA,NA
Alouatta_palliata,-0.166719570849463,-1.09477625971226,-1.44093451205001
Alouatta_seniculus,-0.507210626000512,-1.35686902925686,-0.997556415384445
Aotus_azarae,0.725712326123668,NA,NA
Aotus_griseimembra,NA,NA,NA
Aotus_trivirgatus,0.417697521666204,0.226893656070665,0.226317806641938
Aotus_vociferans,-1.93719752453537,NA,NA
Arctocebus_calabarensis,-1.04022623870817,-2.24030738376941,NA
Ateles_belzebuth,-0.75608155052902,NA,NA
Ateles_chamek,NA,NA,NA
Ateles_geoffroyi,-0.69087145025185,-1.25238341761471,-1.18165881493577
Ateles_marginatus,NA,NA,NA
Ateles_paniscus,-0.64364397928352,-1.61006383057793,-0.893860543120597
Avahi_laniger,-1.37214614921829,-2.01240926615843,-1.72598617247293
Cacajao_calvus,-1.16607301480128,-1.4157821849758,-1.75663038498193
Cacajao_melanocephalus,-0.782531291040446,NA,NA
Callimico_goeldii,-0.640252642357501,NA,NA
Callithrix_geoffroyi,NA,NA,NA
Callithrix_jacchus,-0.98779502836759,-2.23440061771795,-1.54118350830204
Carlito_syrichta,-0.978855778835786,NA,NA
Cebuella_pygmaea,-1.08538282175257,-2.03104772934133,-1.43922624041243
Cebus_albifrons,-0.64591186840357,NA,NA
Cebus_olivaceus,-0.700571286390851,-1.28247982865421,NA
Cercocebus_chrysogaster,NA,NA,NA
Cercocebus_lunulatus,NA,NA,NA
Cercocebus_torquatus,-0.806412152723448,NA,NA
Cercopithecus_ascanius,-0.728761856936122,-1.30800927221618,-1.13123011157908
Cercopithecus_cephus,-0.734488181728224,-1.11522310852676,NA
Cercopithecus_diana,-0.39555472526916,-0.913021273716291,NA
Cercopithecus_hamlyni,-0.681117534789116,NA,NA
Cercopithecus_lowei,NA,NA,NA
Cercopithecus_mitis,-0.244488730610238,-1.31218684482231,NA
Cercopithecus_mona,-0.519440097588954,-0.804832859718765,NA
Cercopithecus_neglectus,-0.236236208376104,-1.2759301728513,NA
Cercopithecus_nictitans,-0.591613911677374,-1.07799039656373,NA
Cercopithecus_petaurista,-0.601677768694885,-1.24831093088421,NA
Cercopithecus_pogonias,-0.164972865838462,-0.962977586562044,NA
Cercopithecus_roloway,NA,NA,NA
Cheirogaleus_major,-1.38436387525721,NA,NA
Cheirogaleus_medius,-1.31962667924208,-1.34041311137723,-1.47137098738746
Cheracebus_lucifer,NA,NA,NA
Cheracebus_lugens,NA,NA,NA
Cheracebus_torquatus,-0.178153905613419,-0.658441873938265,NA
Chiropotes_albinasus,NA,NA,NA
Chlorocebus_pygerythrus,-0.400458111338587,NA,-1.10249637783168
Colobus_angolensis,-0.193302814273187,-0.877090899569984,NA
Colobus_guereza,-0.155404749897641,-0.947888380738418,-0.600547604956143
Colobus_polykomos,-0.260101559005849,-1.25100910062933,-0.751997238689132
Daubentonia_madagascariensis,-1.18258135073548,NA,NA
Erythrocebus_patas,-0.420128580671826,-1.081987711665,-1.14054913825038
Eulemur_albifrons,-0.594352883061195,NA,NA
Eulemur_collaris,NA,NA,NA
Eulemur_coronatus,-0.158490087435944,-0.976955170828138,-0.823821406359963
Eulemur_flavifrons,NA,NA,NA
Eulemur_fulvus,-0.403194091528627,-1.06168085278097,-0.614242493124143
Eulemur_macaco,-0.106649827328731,-0.924765630605951,-1.16229208569863
Eulemur_mongoz,-0.395929638044276,-1.05683441023528,-1.05542794838256
Eulemur_rubriventer,-1.15052679440315,-1.07990584007579,-1.04672532996191
Eulemur_rufus,-0.0162006986966461,NA,NA
Eulemur_sanfordi,-0.426670396342812,NA,NA
Galago_moholi,-0.618992377440833,-2.89399202166735,NA
Galago_senegalensis,-2.15594500045953,-2.18892825390816,NA
Galagoides_demidovii,-1.74464128885767,-2.2582161483899,NA
Gorilla_beringei,-0.29740760518498,NA,-0.72273985194334
Gorilla_gorilla,0.0256414276011165,-0.905955196072344,-0.531299226023988
Hapalemur_griseus,-1.82400752106176,-1.0177566242363,-1.63168651264195
Hapalemur_meridionalis,NA,NA,NA
Hapalemur_occidentalis,NA,NA,NA
Hoolock_hoolock,-0.271183964061041,-1.05039093401606,NA
Hylobates_abbotti,NA,NA,NA
Hylobates_agilis,-0.175313671536196,NA,NA
Hylobates_klossii,-0.205323667565976,-0.872639803857119,NA
Hylobates_lar,-0.0795783295832178,-1.04262222371747,-1.2309824033178
Hylobates_muelleri,-0.00680528445271444,NA,NA
Indri_indri,-1.20715834194069,-2.46370277723024,NA
Lagothrix_lagotricha,-0.951383146445884,-1.49422292156051,-1.85527019597387
Lemur_catta,-0.159032274123493,-0.879434975268353,-0.803501828676339
Leontocebus_fuscicolis,-1.97763834017383,-1.60942465843475,-1.42549013084648
Leontocebus_illigeri,NA,NA,NA
Leontocebus_nigricollis,NA,NA,NA
Leontopithecus_chrysomelas,-1.09570304058124,NA,NA
Leontopithecus_rosalia,-1.50892248815136,NA,NA
Lepilemur_ruficaudatus,-0.686170841882192,-1.27348693152088,NA
Lophocebus_aterrimus,-0.75800195294702,-1.21782641801497,NA
Loris_lydekkerianus,-1.00386582065415,NA,NA
Loris_tardigradus,-0.932261672910864,-1.57333592204913,NA
Macaca_arctoides,-0.115904869362668,NA,NA
Macaca_assamensis,-0.204900061145196,NA,NA
Macaca_cyclopis,-0.187330417965438,NA,NA
Macaca_fascicularis,-0.235853158894209,-0.0878095846902085,-0.518856554086464
Macaca_fuscata,-0.214352010317286,-0.70292203798248,-0.178500175271957
Macaca_leonina,0.583123658100627,NA,NA
Macaca_maura,NA,NA,NA
Macaca_mulatta,-0.294146342419072,-0.73779851524858,-0.734488622465697
Macaca_nemestrina,0.367602479097154,-0.129240777902379,0.195222619124962
Macaca_nigra,0.160889047704749,-0.096978349661536,NA
Macaca_radiata,-0.278062246204876,NA,NA
Macaca_siberu,NA,NA,NA
Macaca_silenus,0.201246963381997,-0.00846080396311444,-0.668197742881626
Macaca_thibetana,-0.778831326156158,NA,NA
Macaca_tonkeana,NA,NA,NA
Mandrillus_leucophaeus,-0.726036416417409,-1.30649333970688,-0.575491025431329
Mandrillus_sphinx,-0.686025937174325,-1.16386583612027,-1.32952508570916
Mico_argentatus,-0.458527220095158,NA,NA
Mico_humeralifer,-0.530078391749258,NA,NA
Microcebus_murinus,-0.806395957787692,-1.81943525533418,NA
Miopithecus_ogouensis,NA,NA,NA
Mirza_zaza,NA,NA,NA
Nasalis_larvatus,-0.392642719911411,-1.16646828318039,-0.797499585019609
Nomascus_annamensis,NA,NA,NA
Nomascus_concolor,-0.868796992379077,-1.69982609714101,NA
Nomascus_siki,NA,NA,NA
Nycticebus_bengalensis,-0.637587764124096,NA,NA
Nycticebus_coucang,-0.626258041835938,-1.46060381199867,NA
Nycticebus_pygmaeus,-0.748335734639778,-1.16044216521277,NA
Otolemur_crassicaudatus,-1.69692794863953,-1.58798368753324,NA
Otolemur_garnettii,-1.63718091157231,-1.68929155130997,NA
Pan_paniscus,-0.158393125604867,-0.916686836239585,-0.603346383217374
Pan_troglodytes,-0.206003114319941,-0.9914149983471,-0.597212209175137
Papio_anubis,-0.627433836079792,-0.708610396195834,-0.828590654276189
Papio_cynocephalus,-0.538805912546416,-1.28374184949025,-1.13637244351351
Papio_hamadryas,-0.677165012682374,-0.862018927033793,-1.03391226594228
Papio_kindae,NA,NA,NA
Papio_papio,NA,NA,NA
Papio_ursinus,-0.825799792638039,-1.15545154437487,-0.423833667896184
Perodicticus_potto,-1.43189732453797,-2.74118862062663,NA
Piliocolobus_badius,-0.298597576105995,-1.01322234224361,NA
Piliocolobus_kirkii,-0.0822801698918263,-0.997877866167585,NA
Piliocolobus_tephrosceles,-0.189267016119224,NA,NA
Pithecia_albicans,NA,NA,NA
Pithecia_chrysocephala,NA,NA,NA
Plecturocebus_bernhardi,NA,NA,NA
Plecturocebus_brunneus,NA,NA,NA
Plecturocebus_cupreus,NA,NA,NA
Plecturocebus_hoffmansi,-0.394642929105522,NA,NA
Plecturocebus_moloch,-0.047581974079148,-0.709386484361705,NA
Pongo_abelii,-0.181483637583576,-1.05410944016695,NA
Pongo_pygmaeus,-0.427859815507324,-1.03233003742335,-0.654971249276724
Presbytis_comata,-0.242175575595325,-0.96405912165507,NA
Presbytis_mitrata,NA,NA,NA
Prolemur_simus,-1.35387968286876,NA,NA
Propithecus_coquereli,-1.34721776985818,NA,NA
Propithecus_diadema,-1.15762306831906,-1.90962556645587,NA
Propithecus_edwardsi,-1.31096596223931,NA,NA
Propithecus_perrieri,NA,NA,NA
Propithecus_tattersalli,-1.31838846507106,NA,NA
Propithecus_verreauxi,-1.24052513524194,-1.76868507581535,-1.65773099998969
Pygathrix_cinerea,NA,NA,NA
Pygathrix_nemaeus,-0.332013281906255,-0.808794435282767,-0.744462124851136
Pygathrix_nigripes,NA,NA,NA
Rhinopithecus_bieti,NA,NA,NA
Rhinopithecus_roxellana,-0.195656825337977,-0.789643938012729,NA
Saguinus_bicolor,-0.943591032242788,NA,NA
Saguinus_geoffroyi,-1.70193262448493,NA,NA
Saguinus_imperator,-1.52424420017675,NA,NA
Saguinus_inustus,NA,NA,NA
Saguinus_labiatus,NA,NA,NA
Saguinus_midas,-1.23615993514606,-1.96416991632634,-1.33745156397327
Saguinus_mystax,-1.00314188771753,NA,NA
Saguinus_oedipus,-1.53813138362769,-1.73174480899075,-0.909637101826407
Saimiri_cassiquiarensis,NA,NA,NA
Saimiri_macrodon,NA,NA,NA
Saimiri_oerstedii,-0.876878105711957,NA,NA
Saimiri_sciureus,-1.15592160729628,-1.73115243990979,-1.5390992328473
Saimiri_ustus,NA,NA,NA
Sapajus_apella,-0.7299896026276,-0.995020052985461,-1.37540427696337
Sapajus_macrocephalus,NA,NA,NA
Semnopithecus_entellus,0.0587213561162487,-1.0773640716348,-0.907196078628163
Semnopithecus_hypoleucos,NA,NA,NA
Semnopithecus_johnii,-0.16410323627913,NA,NA
Semnopithecus_schistaceus,NA,NA,NA
Semnopithecus_vetulus,-0.407915408144676,-1.19283151886943,NA
Tarsius_bancanus,-2.23898580842091,NA,NA
Tarsius_lariang,NA,NA,NA
Tarsius_wallacei,NA,NA,NA
Theropithecus_gelada,-0.558433903915704,-1.28417861474464,-0.687718307710894
Trachypithecus_crepusculus,NA,NA,NA
Trachypithecus_cristatus,-0.406617461693372,-1.1932866673681,-0.564248085043859
Trachypithecus_francoisi,NA,NA,-0.511027791983062
Trachypithecus_geei,-0.56699465549796,NA,NA
Trachypithecus_hatinhensis,NA,NA,NA
Trachypithecus_laotum,NA,NA,NA
Trachypithecus_leucocephalus,NA,NA,NA
Trachypithecus_obscurus,-0.453880922524842,-1.09933003432487,-0.686289332330611
Trachypithecus_phayrei,-0.472870322983653,NA,NA
Trachypithecus_pileatus,-0.662925676675186,-1.22499876784042,NA
Varecia_rubra,-1.48177024210774,NA,NA
Varecia_variegata,-1.11214095846907,-2.0506266132528,NA
Nomascus_gabriellae,-1.18695087195724,NA,NA
Perodicticus_ibeanus,NA,NA,NA
Hapalemur_alaotrensis,-1.46996053071108,NA,NA
Lepilemur_dorsalis,-1.30568093845188,NA,NA
Callithrix_kuhlii,NA,NA,NA